app,prompt,contributor,techstack
3D Plane -moninpeli,"Luo mukaansatempaava moninpelattava lentokoneen taistelupeli Three.js:n, HTML5:n, CSS3:n ja JavaScriptin avulla sekä WebSocketilla reaaliaikaista verkottumista varten. Toteuta yksityiskohtainen 3D-lentokonemalli, jossa on realistinen lentofysiikka, mukaan lukien kallistuksen, kallistuksen, kallistuksen ja kaasun hallinta. Lisää sujuvat kameraohjaukset, jotka seuraavat pelaajan lentokonetta konfiguroitavilla näkymillä (ohjaamo, takaa-ajo, kiertorata). Luo skybox-ympäristö, jossa on dynaamiset vuorokauden aika- ja sääefektit. Toteuta moninpelitoiminnot WebSocketin avulla reaaliaikaisia sijaintipäivityksiä, taistelua ja pelitilan synkronointia varten. Lisää asejärjestelmiä, joissa on ammusten fysiikka, osumien tunnistus ja vahinkomallit. Sisällytä hiukkastehosteet moottorin pakokaasuja, aseiden tulta, räjähdyksiä ja vaurioita varten. Luo HUD, joka näyttää nopeuden, korkeuden, suunnan, tutkan, terveyden ja aseiden tilan. Toteuta äänitehosteet moottoreille, aseille, räjähdyksille ja ympäristöäänille Web Audio API:n avulla. Lisää ottelutyyppejä, mukaan lukien deathmatch ja tiimitaistelut pisteytysjärjestelmällä. Sisällytä muokattavissa olevat lentokoneet erilaisilla aseilla ja kyvyillä. Luo aulajärjestelmä otteluiden luomista ja tiimien jakamista varten. Toteuta asiakaspuolen ennustaminen ja viiveen kompensointi sujuvan moninpelikokemuksen takaamiseksi. Lisää minikartta, joka näyttää pelaajien sijainnit ja tavoitteet. Sisällytä uusintajärjestelmä ottelun toistoa ja kohokohtien luomista varten. Luo reagoivat ohjaimet, jotka tukevat sekä näppäimistö/hiiri että gamepad-syöttöä.",@f,"HTML,CSS,JavaScript,Three.js,WebSocket"
Todo-lista,"Luo responsiivinen todo-sovellus HTML5:llä, CSS3:lla ja vanilja-Javaskriptillä. Sovelluksessa tulisi olla moderni, siisti käyttöliittymä CSS Grid/Flexbox -käyttöliittymällä ja intuitiivisilla ohjaimilla. Täydellinen CRUD-toiminnallisuus (tehtävien lisääminen, muokkaaminen, poistaminen ja loppuunsaattaminen) sujuvilla animaatioilla. Tehtävien luokittelu värikoodauksella ja prioriteettitasoilla (matala/keskikokoinen/korkea). Lisää eräpäiviä päivämääränvalintakomponentin ja muistutusilmoitusten avulla. Käytä localStoragea tietojen säilyttämiseen istuntojen välillä. Toteuta hakutoiminnallisuus tila-, luokka- ja päivämäärävälin suodattimilla. Lisää tehtävien uudelleenjärjestäminen raahaamalla ja pudottamalla HTML5 Drag and Drop API:n avulla. Varmistetaan, että suunnittelu on täysin responsiivinen ja että media queryjen avulla on asianmukaiset katkaisupisteet. Sisällytä tumma/vaalea teema, joka ottaa huomioon käyttäjän järjestelmäasetukset. Lisää hienovaraisia mikrointeraktioita ja siirtymiä UX:n parantamiseksi.",@f,"HTML,CSS,JavaScript"
Sääkojelauta,"Rakenna kattava säämittaristo HTML5:n, CSS3:n, JavaScriptin ja OpenWeatherMap API:n avulla. Luo visuaalisesti houkutteleva käyttöliittymä, jossa näkyvät nykyiset sääolosuhteet sopivilla kuvakkeilla ja taustan muutokset sään/vuorokaudenajan mukaan. Näytä yksityiskohtainen 5 päivän ennuste, jossa on laajennettavissa oleva tuntikohtainen erittely jokaiselle päivälle. Toteuta sijaintihaku automaattisella täydennyksellä ja historiatiedoilla, jotka tukevat sekä kaupunkien nimiä että koordinaatteja. Lisätään geopaikannustuki käyttäjän sijainnin automaattista tunnistamista varten. Sisältää lämpötilayksiköiden (°C/°F) ja aikamuotojen vaihtovalikot. Näytetään huonon sään hälytykset korostettuna. Näytä yksityiskohtaiset säätiedot, mukaan lukien tuulen nopeus/suunta, kosteus, paine, UV-indeksi ja ilmanlaatu, jos saatavilla. Sisältää auringonnousu-/auringonlaskuajat visuaalisilla indikaattoreilla. Luo täysin responsiivinen ulkoasu CSS Gridillä, joka mukautuu kaikkiin laitekokoihin sopivalla informaatiotiheydellä.",@f,"HTML,CSS,JavaScript,API"
Tieteellinen laskin,"Luo kattava tieteellinen laskin HTML5:llä, CSS3:lla ja JavaScriptillä, joka jäljittelee ammattilaislaskimia. Toteuta kaikki aritmeettiset perusoperaatiot oikeassa järjestyksessä. Sisällytä kehittyneet tieteelliset funktiot (trigonometriset, logaritmiset, eksponentiaaliset, tilastolliset), joissa on asteen/radiaanin vaihtaminen. Lisää muistitoimintoja (M+, M-, MR, MC) visuaalisilla indikaattoreilla. Ylläpitää vieritettävää laskentahistorialokia, joka voidaan tyhjentää tai tallentaa. Täydellinen näppäimistötuki asianmukaisilla näppäinkuvioinneilla ja pikanäppäimillä. Lisää vankka virheenkäsittely nollalla jakamisen, virheellisten operaatioiden ja ylivuototilanteiden varalta sekä hyödylliset virheilmoitukset. Luo responsiivinen ulkoasu, joka vaihtelee tavallisen ja tieteellisen ulkoasun välillä näytön koon tai suuntauksen mukaan. Sisällytä useita teemavaihtoehtoja (klassinen, moderni, korkea kontrasti). Lisää valinnainen äänipalaute painikkeiden painalluksille äänenvoimakkuuden säädöllä. Toteuta kopioi/liitä -toiminto tuloksia ja lausekkeita varten.",@f,"HTML,CSS,JavaScript"
Markdown-muistiinpanot,"Rakenna ominaisuuksiltaan rikas markdown-muistiinpanosovellus HTML5:n, CSS3:n ja JavaScriptin avulla. Luo jaetun ruudun käyttöliittymä, jossa on rikas tekstieditori toisella puolella ja elävä markdown-esikatselu toisella puolella. Toteuta täysi markdown-syntaksituki, mukaan lukien taulukot, koodilohkot syntaksin korostuksella ja LaTeX-yhtälöt. Lisää hierarkkinen organisointijärjestelmä, jossa on sisäkkäisiä luokkia, tunnisteita ja suosikkeja. Sisällytä tehokas hakutoiminto suodattimilla ja sisällön indeksoinnilla. Käytä localStoragea ja valinnaista vientiä/tuontia tietojen varmuuskopiointia varten. Tukea muistiinpanojen vientiä PDF-, HTML- ja markdown-muotoihin. Toteuta muokattavissa oleva tumma/vaalea tila, jossa on syntaksin korostusteemoja. Luo responsiivinen ulkoasu, joka mukautuu eri näyttökokoihin kokoontaitettavien paneelien avulla. Lisää tuottavuutta parantavia pikanäppäimiä kaikille yleisille toiminnoille. Sisällytä automaattinen tallennustoiminto, jossa on versiohistoria ja palautusvaihtoehdot.",@f,"HTML,CSS,JavaScript"
Pomodoro-ajastin,"Luo kattava pomodoroajastinsovellus HTML5:n, CSS3:n ja JavaScriptin avulla ajanhallintatekniikan mukaisesti. Suunnittele tyylikäs käyttöliittymä, jossa on suuri, animoitu pyöreä edistymisindikaattori, joka edustaa visuaalisesti nykyistä istuntoa. Mahdollistaa työvälien (oletus 25min), lyhyiden taukojen (oletus 5min) ja pitkien taukojen (oletus 15min) mukauttamisen. Sisällytä tehtäväluettelon integrointi, jonka avulla käyttäjät voivat liittää pomodoro-istuntoja tiettyihin tehtäviin. Lisää konfiguroitavissa olevat ääni-ilmoitukset intervallien siirtymiä varten ja äänenvoimakkuuden säätö. Yksityiskohtaisten tilastojen käyttöönotto päivittäisen/viikoittaisen tuottavuuden seuraamiseksi visuaalisten kaavioiden avulla. Käytä localStoragea asetusten ja historian säilyttämiseen istuntojen välillä. Tee sovelluksesta asennettavissa oleva PWA, jossa on offline-tuki ja ilmoitukset. Lisää pikanäppäimet ajastimen nopeaa hallintaa varten (käynnistys/tauko/nollaus). Sisällytä useita teemavaihtoehtoja, joissa on muokattavia värejä ja fontteja. Lisää tarkennustila, joka estää häiriötekijät työjaksojen aikana.",@f,"HTML,CSS,JavaScript"
Interaktiivinen tietokilpailu,"Kehitä kattava interaktiivinen tietokilpailusovellus HTML5:n, CSS3:n ja JavaScriptin avulla. Luo mukaansatempaava käyttöliittymä, jossa on sujuvat siirtymät kysymysten välillä. Tue useita kysymystyyppejä, mukaan lukien monivalinta, tosi/väärä, vastaaminen ja lyhyt vastaus automaattisella luokittelulla. Toteuta konfiguroitavat ajastimet kysymystä kohden visuaalisella lähtölaskennalla. Lisää yksityiskohtainen pisteseuranta, jossa pisteet perustuvat vaikeusasteeseen ja vastausaikaan. Näyttää dynaamisen edistymispalkin, joka osoittaa suorituksen prosenttiosuuden. Sisällytä tarkistustila, jossa näet oikeat/väärät vastaukset selityksineen tietokilpailun päättymisen jälkeen. Toteuta pysyvä pistetaulukko localStoragea käyttäen. Järjestä kysymykset luokkiin mukautetuilla kuvakkeilla ja kuvauksilla. Tukea useita vaikeustasoja, jotka vaikuttavat pisteytykseen ja aikarajoituksiin. Luo yksityiskohtainen tulosyhteenveto, jossa on suorituskykyanalyysejä ja parannusehdotuksia. Lisää tulosten sosiaalinen jakaminen muokattavilla viesteillä.",@f,"HTML,CSS,JavaScript"
Kehittynyt värinvalitsin,"Rakenna ammattilaistason värityökalu HTML5:llä, CSS3:lla ja JavaScriptillä suunnittelijoille ja kehittäjille. Luo intuitiivinen käyttöliittymä, jossa on useita valintamenetelmiä, kuten pipetti, väripyörä, liukusäätimet ja syöttökentät. Toteuta reaaliaikainen muuntaminen väriformaattien välillä (RGB, RGBA, HSL, HSLA, HEX, CMYK) kopiointitoiminnolla. Lisää väripalettigeneraattori, jossa on vaihtoehtoja komplementaarisille, analogisille, triadisille, tetradisille ja monokromaattisille järjestelmille. Sisällytä suosikkijärjestelmä, jossa on nimettyjä kokoelmia ja vientivaihtoehtoja. Toteutetaan väriharmoniasääntöjen visualisointi interaktiivisella säädöllä. Luodaan gradienttigeneraattori, joka tukee lineaarisia, säteittäisiä ja kartiomaisia gradientteja, joissa on useita väripysähdyksiä. Lisää saavutettavuuden tarkistusohjelma WCAG-vaatimusten noudattamista varten kontrastisuhteiden ja värisokeuden simuloinnin avulla. Toteuta CSS-, SCSS- ja SVG-koodinpätkien kopiointi yhdellä napsautuksella. Sisällytä värien nimeämisalgoritmi, joka ehdottaa nimiä valituille väreille. Tuetaan palettien vientiä eri muotoihin (Adobe ASE, JSON, CSS-muuttujat, SCSS).",@f,"HTML,CSS,JavaScript"
urvallinen salasanageneraattori,"Luo kattava turvallinen salasanageneraattori HTML5:n, CSS3:n ja JavaScriptin avulla, jossa on kryptografisesti vahva satunnaisuus. Rakenna intuitiivinen käyttöliittymä, jossa on reaaliaikainen salasanan esikatselu. Salli salasanan pituuden mukauttaminen esiasetuksilla eri turvallisuustasoille. Sisällytä merkkityyppien (isot ja pienet kirjaimet, numerot, symbolit) vaihtovalikot visuaalisilla indikaattoreilla. Toteuta kehittynyt vahvuusmittari, joka näyttää entropiabitit ja arvioidun murtoajan. Lisää yhden napsautuksen kopiointipainike, jossa on vahvistus ja automaattinen leikepöydän tyhjennys. Luodaan salasanaholviominaisuus, jossa on salattu localStorage-tallennus. Useiden salasanojen luominen samanaikaisesti eräajovaihtoehdoilla. Ylläpidä salasanahistoriaa, jossa on generoinnin aikaleimat. Lasketaan ja näytetään entropia standardikaavoilla. Tarjota mieleenpainuvia salasanojen luomisvaihtoehtoja (lausekepohjainen, kuvioihin perustuva). Sisältää vientitoiminnon ja salasanaluetteloiden salausvaihtoehdot.",@f,"HTML,CSS,JavaScript"
Terveysmittareiden laskuri,"Rakenna kattava terveysmittarilaskuri HTML5:llä, CSS3:lla ja JavaScriptillä lääketieteellisten standardien mukaisesti. Luo puhdas, helppokäyttöinen käyttöliittymä, jossa on vaiheittaiset syöttölomakkeet. Toteuta tarkka BMI-laskenta visuaalisen luokitteluasteikon ja terveysriskien arvioinnin avulla. Lisää kehon rasvaprosenttilaskuri, jossa käytetään useita menetelmiä (Navy, Jackson-Pollock, BIA-simulaatio). Lasketaan ihannepainon vaihteluvälit käyttämällä useita kaavoja (Hamwi, Devine, Robinson, Miller). Yksityiskohtaisen kaloritarvelaskurin käyttöönotto BMR:n (käyttäen Harris-Benedict-, Mifflin-St Jeor- ja Katch-McArdle-yhtälöitä) ja aktiivisuustasoon perustuvan TDEE:n avulla. Sisällytä laskettuihin mittareihin perustuvat henkilökohtaiset terveyssuositukset. Tukee sekä metrisiä että brittiläisiä yksiköitä saumattomalla muuntamisella. Tallenna käyttäjäprofiilit ja mittaushistoria trendien visualisoinnilla. Luo vuorovaikutteisia edistymiskaavioita, jotka näyttävät muutokset ajan myötä. Luo tulostettavia/vietäviä PDF-raportteja, joissa on kaikki mittarit ja suositukset.",@f,"HTML,CSS,JavaScript"
