app,prompt,contributor,techstack
"Multiplayer 3D Plane Game","Create an immersive multiplayer airplane combat Peli using Three.js, HTML5, CSS3, and JavaScript with WebSocket for real-Aika networking. Implement a detailed 3D airplane Malli with realistic flight physics including pitch, yaw, roll, and throttle Kontrolli. Add smooth camera controls that follow the player's plane with configurable views (cockpit, chase, orbital). Create a skybox environment with dynamic Aika of day and weather effects. Implement multiplayer functionality using WebSocket for real-Aika Asema updates, combat, and Peli Tila synchronization. Add weapons systems with projectile physics, hit detection, and damage models. Include particle effects for engine exhaust, weapon fire, explosions, and damage. Create a HUD displaying Nopeus, altitude, heading, radar, Terveys, and weapon Status. Implement Ääni effects for engines, weapons, explosions, and environmental Ääni using the Web Ääni API. Add match types including deathmatch and Tiimi battles with scoring Järjestelmä. Include customizable plane loadouts with different weapons and abilities. Create a lobby Järjestelmä for match creation and Tiimi assignment. Implement Asiakas-Puoli prediction and lag compensation for smooth multiplayer Kokemus. Add mini-map showing player positions and objectives. Include replay Järjestelmä for match playback and highlight creation. Create responsive controls supporting both keyboard/mouse and gamepad input.","@f","HTML,CSS,JavaScript,Three.js,WebSocket"
"Todo List","Create a responsive todo app with HTML5, CSS3 and vanilla JavaScript. The app should have a modern, clean UI using CSS Grid/Flexbox with intuitive controls. Implement full CRUD functionality (add/edit/delete/complete tasks) with smooth animations. Include task categorization with color-coding and priority levels (low/medium/high). Add due dates with a date-picker Komponentti and reminder notifications. Use localStorage for Data persistence between sessions. Implement search functionality with filters for Status, category, and date range. Add drag and drop reordering of tasks using the HTML5 Drag and Drop API. Ensure the Suunnittelu is fully responsive with appropriate breakpoints using media queries. Include a dark/light Teema toggle that respects Käyttäjä Järjestelmä preferences. Add subtle micro-interactions and transitions for better UX.","@f","HTML,CSS,JavaScript"
"Weather Dashboard","Build a comprehensive weather dashboard using HTML5, CSS3, JavaScript and the OpenWeatherMap API. Create a visually appealing Käyttöliittymä showing current weather conditions with appropriate icons and background changes based on weather/Aika of day. Display a detailed 5-day forecast with expandable hourly breakdown for each day. Implement Sijainti search with autocomplete and Historia, supporting both city names and coordinates. Add geolocation Tuki to automatically detect Käyttäjä's Sijainti. Include toggles for temperature units (°C/°F) and Aika formats. Display severe weather alerts with priority highlighting. Show detailed meteorological Data including wind Nopeus/Suunta, humidity, pressure, UV index, and air Laatu Milloin available. Include sunrise/sunset times with visual indicators. Create a fully responsive Asettelu using CSS Grid that adapts to all device sizes with appropriate Tieto density.","@f","HTML,CSS,JavaScript,API"
"Scientific Calculator","Create a comprehensive scientific calculator with HTML5, CSS3 and JavaScript that mimics Ammattilainen calculators. Implement all basic arithmetic operations with proper Tilaus of operations. Include advanced scientific functions (trigonometric, logarithmic, exponential, statistical) with Aste/radian toggle. Add memory operations (M+, M-, MR, MC) with visual indicators. Maintain a scrollable calculation Historia log that can be cleared or saved. Implement full keyboard Tuki with appropriate key mappings and shortcuts. Add robust error handling for division by zero, invalid operations, and overflow conditions with helpful error messages. Create a responsive Suunnittelu that transforms between standard and scientific layouts based on screen Koko or orientation. Include multiple Teema options (classic, modern, high contrast). Add optional Ääni Palaute for button presses with volume Kontrolli. Implement copy/paste functionality for results and expressions.","@f","HTML,CSS,JavaScript"
"Markdown Notes","Build a Ominaisuus-rich markdown notes Sovellus with HTML5, CSS3 and JavaScript. Create a split-screen Käyttöliittymä with a rich Teksti editor on one Puoli and live markdown preview on the other. Implement full markdown syntax Tuki including tables, Koodi blocks with syntax highlighting, and LaTeX equations. Add a hierarchical Organisaatio Järjestelmä with nested categories, tags, and favorites. Include powerful search functionality with filters and Sisältö indexing. Use localStorage with optional export/import for Data backup. Tuki exporting notes to PDF, HTML, and markdown formats. Implement a customizable dark/light Tila with syntax highlighting themes. Create a responsive Asettelu that adapts to different screen sizes with collapsible panels. Add Tuottavuus-enhancing keyboard shortcuts for all common actions. Include auto-save functionality with version Historia and restore options.","@f","HTML,CSS,JavaScript"
"Pomodoro Timer","Create a comprehensive pomodoro timer app using HTML5, CSS3 and JavaScript following the Aika Hallinta Tekniikka. Suunnittelu an elegant Käyttöliittymä with a large, animated circular Edistys indicator that visually represents the current session. Allow Mukauttaminen of work intervals (default 25min), short breaks (default 5min), and long breaks (default 15min). Include a task list integration Missä users can associate pomodoro sessions with specific tasks. Add configurable Ääni notifications for interval transitions with volume Kontrolli. Implement detailed statistics tracking daily/weekly Tuottavuus with visual charts. Use localStorage to persist settings and Historia between sessions. Make the app installable as a PWA with offline Tuki and notifications. Add keyboard shortcuts for quick timer Kontrolli (start/pause/reset). Include multiple Teema options with customizable colors and fonts. Add a Keskittyminen Tila that blocks distractions during work intervals.","@f","HTML,CSS,JavaScript"
"Interactive Quiz","Develop a comprehensive interactive quiz Sovellus with HTML5, CSS3 and JavaScript. Create an engaging UI with smooth transitions between questions. Tuki multiple Kysymys types including multiple Valinta, true/false, matching, and short Vastaus with automatic grading. Implement configurable timers per Kysymys with visual countdown. Add detailed Pisteet tracking with points based on Vaikeus and response Aika. Show a dynamic Edistys bar indicating completion percentage. Include a Arvostelu Tila to see correct/incorrect answers with explanations after quiz completion. Implement a persistent leaderboard using localStorage. Organize questions into categories with custom icons and descriptions. Tuki multiple Vaikeus levels affecting scoring and Aika limits. Generate a detailed results summary with Suorituskyky analytics and Parannus suggestions. Add social sharing functionality for results with customizable messages.","@f","HTML,CSS,JavaScript"
"Advanced Color Picker Tool","Build a Ammattilainen-Arvosana color Työkalu with HTML5, CSS3 and JavaScript for designers and developers. Create an intuitive Käyttöliittymä with multiple selection methods including eyedropper, color wheel, sliders, and input fields. Implement real-Aika conversion between color formats (RGB, RGBA, HSL, HSLA, HEX, CMYK) with copy functionality. Add a color palette generator with options for complementary, analogous, triadic, tetradic, and monochromatic schemes. Include a favorites Järjestelmä with named collections and export options. Implement color Harmonia Säännöt visualization with interactive adjustment. Create a gradient generator supporting linear, radial, and conic gradients with multiple color stops. Add an accessibility checker for WCAG compliance with contrast ratios and colorblindness simulation. Implement one-click copy for CSS, SCSS, and SVG Koodi snippets. Include a color naming algorithm to suggest names for selected colors. Tuki exporting palettes to various formats (Adobe ASE, JSON, CSS variables, SCSS).","@f","HTML,CSS,JavaScript"
"Secure Password Generator Tool","Create a comprehensive secure password generator using HTML5, CSS3 and JavaScript with cryptographically strong randomness. Build an intuitive Käyttöliittymä with real-Aika password preview. Allow Mukauttaminen of password length with presets for different Turvallisuus levels. Include toggles for character types (uppercase, lowercase, numbers, symbols) with visual indicators. Implement an advanced Vahvuus meter showing entropy bits and estimated crack Aika. Add a one-click copy button with confirmation and automatic clipboard clearing. Create a password vault Ominaisuus with encrypted localStorage storage. Generate multiple passwords simultaneously with batch options. Maintain a password Historia with generation timestamps. Calculate and display entropy using standard formulas. Offer memorable password generation options (phrase-based, Kuvio-based). Include export functionality with encryption options for password lists.","@f","HTML,CSS,JavaScript"
"Health Metrics Calculator","Build a comprehensive Terveys metrics calculator with HTML5, CSS3 and JavaScript based on medical Standardit. Create a clean, accessible Käyttöliittymä with step-by-step input forms. Implement accurate BMI calculation with visual classification Mittakaava and Terveys Riski Arviointi. Add body fat percentage calculator using multiple methods (Navy, Jackson-Pollock, BIA simulation). Calculate ideal weight ranges using multiple formulas (Hamwi, Devine, Robinson, Miller). Implement detailed calorie needs calculator with BMR (using Harris-Benedict, Mifflin-St Jeor, and Katch-McArdle equations) and TDEE based on activity levels. Include personalized Terveys recommendations based on calculated metrics. Tuki both metric and imperial units with seamless conversion. Store Käyttäjä profiles and measurement Historia with trend visualization. Generate interactive Edistys charts showing changes over Aika. Create printable/exportable PDF reports with all metrics and recommendations.","@f","HTML,CSS,JavaScript"
